B1
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
6:00-6:30,,,,,,
6:30-7:00,,,,,,
7:00-7:30,,,,,,
7:30-8:00,,18B17CI472 - CL2 - ,,,,
8:00-8:30,,18B17CI472 - CL2 - ,,,,
8:30-9:00,,18B17CI472 - CL2 - ,,,,
9:00-9:30,,18B17CI472 - CL2 - ,,,,14B17CI772 - CL5 - 
9:30-10:00,,18B17CI473 - CL1 - ,,18B17CI471 - CL2 - ,,14B17CI772 - CL5 - 
10:00-10:30,,18B17CI473 - CL1 - ,,18B17CI471 - CL2 - ,,14B17CI772 - CL5 - 
10:30-11:00,,18B17CI473 - CL1 - ,,18B17CI471 - CL2 - ,,14B17CI772 - CL5 - 
11:00-11:30,,18B17CI473 - CL1 - ,,18B17CI471 - CL2 - ,,
11:30-12:00,,14B11CI711 - LT2 - ,,14B11CI711 - LT2 - ,,
12:00-12:30,,14B11CI711 - LT2 - ,,14B11CI711 - LT2 - ,18B28CI408 - CL2 - ,
12:30-13:00,18B11HS411 - LT2 - ,14B11CI711 - LT2 - ,,14B11CI711 - LT2 - ,18B28CI408 - CL2 - ,18B14HS441 - LT2 - 
13:00-13:30,18B11HS411 - LT2 - ,14B11CI711 - LT2 - ,,14B11CI711 - LT2 - ,18B28CI408 - CL2 - ,18B14HS441 - LT2 - 
13:30-14:00,18B11HS411 - LT2 - ,18B11CI412 - LT2 - ,,18B11CI412 - LT2 - ,18B28CI408 - CL2 - ,18B14HS441 - LT2 - 
14:00-14:30,18B11HS411 - LT2 - ,18B11CI412 - LT2 - ,,18B11CI412 - LT2 - ,18B28CI408 - CL2 - ,18B14HS441 - LT2 - 
14:30-15:00,,18B11CI412 - LT2 - ,,18B11CI412 - LT2 - ,18B28CI408 - CL2 - ,18B14HS441 - LT2 - 
15:00-15:30,,18B11CI412 - LT2 - ,,18B11CI412 - LT2 - ,,18B14HS441 - LT2 - 
15:30-16:00,,,,,,
16:00-16:30,,,,,,
16:30-17:00,,,,,,
17:00-17:30,,,,,,
17:30-18:00,,,,,,
""
B2
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
6:00-6:30,,,,,,
6:30-7:00,,,,,,
7:00-7:30,,,,,,
7:30-8:00,,,,,,
8:00-8:30,18B28CI408 - CL5 - ,,,,,
8:30-9:00,18B28CI408 - CL5 - ,,,,,
9:00-9:30,18B28CI408 - CL5 - ,,18B11HS411 - LT1 - ,,,
9:30-10:00,18B28CI408 - CL5 - ,,18B11HS411 - LT1 - ,18B17CI471 - CL2 - ,,
10:00-10:30,18B28CI408 - CL5 - ,,18B11HS411 - LT1 - ,18B17CI471 - CL2 - ,,
10:30-11:00,18B28CI408 - CL5 - ,,18B11HS411 - LT1 - ,18B17CI471 - CL2 - ,,
11:00-11:30,,,,18B17CI471 - CL2 - ,,14B17CI772 - CL4 - 
11:30-12:00,,18B11CI412 - LT1 - ,,18B11CI412 - LT1 - ,,14B17CI772 - CL4 - 
12:00-12:30,18B11CI413 - LT1 - ,18B11CI412 - LT1 - ,18B11CI413 - LT1 - ,18B11CI412 - LT1 - ,18B11CI413 - LT1 - ,14B17CI772 - CL4 - 
12:30-13:00,18B11CI413 - LT1 - ,18B11CI412 - LT1 - ,18B11CI413 - LT1 - ,18B11CI412 - LT1 - ,18B11CI413 - LT1 - ,14B17CI772 - CL4 - 
13:00-13:30,,18B11CI412 - LT1 - ,,18B11CI412 - LT1 - ,,
13:30-14:00,,18B17CI472 - CL1 - ,18B14HS441 - LT1 - ,,,
14:00-14:30,,18B17CI472 - CL1 - ,18B14HS441 - LT1 - ,,,
14:30-15:00,,18B17CI472 - CL1 - ,18B14HS441 - LT1 - ,,,
15:00-15:30,18B17CI473 - CL1 - ,18B17CI472 - CL1 - ,18B14HS441 - LT1 - ,,,
15:30-16:00,18B17CI473 - CL1 - ,,18B14HS441 - LT1 - ,,,
16:00-16:30,18B17CI473 - CL1 - ,,18B14HS441 - LT1 - ,,,
16:30-17:00,18B17CI473 - CL1 - ,,,,,
17:00-17:30,,,,,,
17:30-18:00,,,,,,
""
B3
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
6:00-6:30,,,,,,
6:30-7:00,18B11HS411 - CL1 - ,,,,,
7:00-7:30,18B11HS411 - CL1 - ,18B11CI411 - CL1 - ,,18B11CI411 - CL1 - ,,
